Video Link,User ID,Comment,Likes,Basic_Cleaned,ReCleaned_Comment,Tokens,Lem_Tokens
https://www.youtube.com/watch?v=kGc3DM1qAf8&pp=ygUMQ2hpbmEgdHJhdmVs,@CW0123,Bald went from being called an MI6 agent to a Russian spy but he was really a Chinese propaganda asset all along,17000,Bald went from being called an MI6 agent to a Russian spy but he was really a Chinese propaganda asset all along,bald went from being called an mi agent to a russian spy but he was really a chinese propaganda asset all along,"['bald', 'went', 'called', 'mi', 'agent', 'russian', 'spy', 'really', 'chinese', 'propaganda', 'asset', 'along']","['bald', 'go', 'call', 'mi', 'agent', 'russian', 'spy', 'really', 'chinese', 'propaganda', 'asset', 'along']"
https://www.youtube.com/watch?v=kGc3DM1qAf8&pp=ygUMQ2hpbmEgdHJhdmVs,@rosschirstopher,"This video just reaffirms the fact that most people don't have a problem with each other, its our governments that have a problem with each other.",13000,"This video just reaffirms the fact that most people don't have a problem with each other, its our governments that have a problem with each other.",this video just reaffirms the fact that most people dont have a problem with each other its our governments that have a problem with each other,"['video', 'reaffirms', 'fact', 'people', 'dont', 'problem', 'governments', 'problem']","['video', 'reaffirms', 'fact', 'people', 'dont', 'problem', 'government', 'problem']"
https://www.youtube.com/watch?v=K3X46veg64I&pp=ygUVMTQ0LWhvdXIgdHJhbnNpdCB2aXNh,@steelydan1242,China is not the most hated country. Its America and UK being the most hated.,7700,China is not the most hated country. Its America and UK being the most hated.,china is not the most hated country its america and uk being the most hated,"['china', 'hated', 'country', 'america', 'uk', 'hated']","['china', 'hat', 'country', 'america', 'uk', 'hat']"
https://www.youtube.com/watch?v=kGc3DM1qAf8&pp=ygUMQ2hpbmEgdHJhdmVs,@perry-x3t,Somehow he only knows 12 words but uses them to their fullest extent. The one and only Bald.,7700,Somehow he only knows 12 words but uses them to their fullest extent. The one and only Bald.,somehow he only knows  words but uses them to their fullest extent the one and only bald,"['somehow', 'knows', 'words', 'uses', 'fullest', 'extent', 'one', 'bald']","['somehow', 'know', 'word', 'use', 'full', 'extent', 'one', 'bald']"
https://www.youtube.com/watch?v=kGc3DM1qAf8&pp=ygUMQ2hpbmEgdHJhdmVs,@LoadedSpork,Trying to scan a QR code with your phone screen made me crack up,7200,Trying to scan a QR code with your phone screen made me crack up,trying to scan a qr code with your phone screen made me crack up,"['trying', 'scan', 'qr', 'code', 'phone', 'screen', 'made', 'crack']","['try', 'scan', 'qr', 'code', 'phone', 'screen', 'make', 'crack']"
https://www.youtube.com/watch?v=UL5e6qk3sLE&pp=ygUVMTQ0LWhvdXIgdHJhbnNpdCB2aXNh,@yilunbai,"Its just funny that so many China hatred comments are probably from those who have never been to China, while the Youtubers theyre watching are actually there and enjoying their best lives. China welcomes all open minded tourists from all over the world. Its a massive country with a lot of varieties in different regions. Being this big of course it has its good and bad but so does every other country. Definitely come back again if you enjoyed your first 144hrs, its just a teaser.",7100,"Its just funny that so many China hatred comments are probably from those who have never been to China, while the Youtubers theyre watching are actually there and enjoying their best lives. China welcomes all open minded tourists from all over the world. Its a massive country with a lot of varieties in different regions. Being this big of course it has its good and bad but so does every other country. Definitely come back again if you enjoyed your first 144hrs, its just a teaser.",its just funny that so many china hatred comments are probably from those who have never been to china while the youtubers theyre watching are actually there and enjoying their best lives china welcomes all open minded tourists from all over the world its a massive country with a lot of varieties in different regions being this big of course it has its good and bad but so does every other country definitely come back again if you enjoyed your first hrs its just a teaser,"['funny', 'many', 'china', 'hatred', 'comments', 'probably', 'never', 'china', 'youtubers', 'theyre', 'watching', 'actually', 'enjoying', 'best', 'lives', 'china', 'welcomes', 'open', 'minded', 'tourists', 'world', 'massive', 'country', 'lot', 'varieties', 'different', 'regions', 'big', 'course', 'good', 'bad', 'every', 'country', 'definitely', 'come', 'back', 'enjoyed', 'first', 'hrs', 'teaser']","['funny', 'many', 'china', 'hatred', 'comment', 'probably', 'never', 'china', 'youtubers', 'theyre', 'watch', 'actually', 'enjoy', 'best', 'life', 'china', 'welcome', 'open', 'mind', 'tourist', 'world', 'massive', 'country', 'lot', 'variety', 'different', 'region', 'big', 'course', 'good', 'bad', 'every', 'country', 'definitely', 'come', 'back', 'enjoy', 'first', 'hr', 'teaser']"
https://www.youtube.com/watch?v=0kfhyOKM888&pp=ygUMQ2hpbmEgdHJhdmVs,,"I lived there for 6 months! The city is so big that you dont need to leave your own district, cause each district is a million people city by itself!",6900,"I lived there for 6 months! The city is so big that you dont need to leave your own district, cause each district is a million people city by itself!",i lived there for  months the city is so big that you dont need to leave your own district cause each district is a million people city by itself,"['lived', 'months', 'city', 'big', 'dont', 'need', 'leave', 'district', 'cause', 'district', 'million', 'people', 'city']","['lived', 'month', 'city', 'big', 'dont', 'need', 'leave', 'district', 'cause', 'district', 'million', 'people', 'city']"
https://www.youtube.com/watch?v=kGc3DM1qAf8&pp=ygUMQ2hpbmEgdHJhdmVs,@chrisschneiders6734,"The lady mending your sweater probably has not much money, not excalty a high paying job in modern world yet did it for nothing..says a lot to me..",6200,"The lady mending your sweater probably has not much money, not excalty a high paying job in modern world yet did it for nothing..says a lot to me..",the lady mending your sweater probably has not much money not excalty a high paying job in modern world yet did it for nothingsays a lot to me,"['lady', 'mending', 'sweater', 'probably', 'much', 'money', 'excalty', 'high', 'paying', 'job', 'modern', 'world', 'yet', 'nothingsays', 'lot']","['lady', 'mend', 'sweater', 'probably', 'much', 'money', 'excalty', 'high', 'pay', 'job', 'modern', 'world', 'yet', 'nothingsays', 'lot']"
https://www.youtube.com/watch?v=kGc3DM1qAf8&pp=ygUMQ2hpbmEgdHJhdmVs,@YoushengnaLi,"This is my first comment on Youtube and I want to say the man you talked with is my father. He was traveling with my mother the lady with pink shirt from Kunming. He sent me the screen shot tonight and he was very happy that could meet you there. All of us Chinese welcome you to China and if you are interested in Shenzhen one day, because I'm here, I'm glad to be your guide",6200,"This is my first comment on Youtube and I want to say the man you talked with is my father. He was traveling with my mother the lady with pink shirt from Kunming. He sent me the screen shot tonight and he was very happy that could meet you there. All of us Chinese welcome you to China and if you are interested in Shenzhen one day, because I'm here, I'm glad to be your guide",this is my first comment on youtube and i want to say the man you talked with is my father he was traveling with my mother the lady with pink shirt from kunming he sent me the screen shot tonight and he was very happy that could meet you there all of us chinese welcome you to china and if you are interested in shenzhen one day because im here im glad to be your guide,"['first', 'comment', 'youtube', 'want', 'say', 'man', 'talked', 'father', 'traveling', 'mother', 'lady', 'pink', 'shirt', 'kunming', 'sent', 'screen', 'shot', 'tonight', 'happy', 'could', 'meet', 'us', 'chinese', 'welcome', 'china', 'interested', 'shenzhen', 'one', 'day', 'im', 'im', 'glad', 'guide']","['first', 'comment', 'youtube', 'want', 'say', 'man', 'talk', 'father', 'travel', 'mother', 'lady', 'pink', 'shirt', 'kunming', 'send', 'screen', 'shot', 'tonight', 'happy', 'could', 'meet', 'u', 'chinese', 'welcome', 'china', 'interested', 'shenzhen', 'one', 'day', 'im', 'im', 'glad', 'guide']"
https://www.youtube.com/watch?v=kGc3DM1qAf8&pp=ygUMQ2hpbmEgdHJhdmVs,@Xtazieyo,"Imagine getting your toenails done in Chongqing, not suspecting anything bad while suddenly a bald, white guy with sunglasses and a blue Ralph Lauren sweater starts filimg your feet while spouting random, chinese words",6100,"Imagine getting your toenails done in Chongqing, not suspecting anything bad while suddenly a bald, white guy with sunglasses and a blue Ralph Lauren sweater starts filimg your feet while spouting random, chinese words",imagine getting your toenails done in chongqing not suspecting anything bad while suddenly a bald white guy with sunglasses and a blue ralph lauren sweater starts filimg your feet while spouting random chinese words,"['imagine', 'getting', 'toenails', 'done', 'chongqing', 'suspecting', 'anything', 'bad', 'suddenly', 'bald', 'white', 'guy', 'sunglasses', 'blue', 'ralph', 'lauren', 'sweater', 'starts', 'filimg', 'feet', 'spouting', 'random', 'chinese', 'words']","['imagine', 'get', 'toenail', 'do', 'chongqing', 'suspect', 'anything', 'bad', 'suddenly', 'bald', 'white', 'guy', 'sunglass', 'blue', 'ralph', 'lauren', 'sweater', 'start', 'filimg', 'foot', 'spout', 'random', 'chinese', 'word']"
